0.334619	1.199507	BO
1.404607	2.132922	BI
2.168621	2.285646	M
3.420465	4.294608	BO
4.327225	5.155704	BI
5.173100	5.277475	M
5.484051	5.953740	V
5.953740	6.429952	BO
6.429952	6.584340	M
6.882245	7.038808	M
7.295397	9.180675	CT
9.230689	9.622096	BI
9.646015	9.743867	M
9.765612	11.757440	CT
12.601140	13.994985	CT
13.994985	14.477721	BO 
14.658203	15.756318	V
15.756318	16.278194	BI
16.286892	16.926191	V
16.926191	17.191478	BO
17.191478	19.315244	V
19.318319	19.592011	BO
19.592011	21.344867	V
21.344867	21.929152	BI
21.929152	23.448294	V
23.448294	23.632805	BO
23.632805	25.151947	V
25.151947	25.868466	BI
25.868466	29.438757	V
29.438757	30.075320	BI
30.075320	33.857799	V
33.857799	34.352904	BI
34.402107	36.194941	V
36.468632	37.185151	BI
37.495744	37.944722	V
37.987774	38.295293	BO
38.519781	40.198833	V
40.657036	42.505223	V
42.505223	43.824477	BI
43.824477	47.333265	CT
47.333265	47.960603	BO
48.206618	49.221429	BI
49.230655	49.359812	M
49.821090	50.002526	M
50.282368	50.328496	M
51.072691	52.318141	BO
52.379645	53.760404	CT
53.791156	56.524996	BI
56.524996	56.691056	M
56.691056	57.315319	CT
57.887303	58.379333	CT
58.846762	59.329566	CT
59.329566	60.070686	BO
60.264422	61.150076	BI
61.150076	61.460670	M
61.460670	63.235052	CT
63.235052	64.348270	BO
64.907953	65.993494	BI
66.018096	66.113426	M
66.159554	68.533598	CT
68.567425	69.705244	BO
70.071191	71.295115	BI
71.295115	74.791602	CT
75.188301	76.098556	BO
76.200037	77.153345	BI
77.519292	77.855118	V
78.675562	79.284448	V
79.284448	79.656546	BO
79.671922	83.709641	V
83.709641	84.761355	BI
84.868986	85.474798	V
85.619332	85.899174	M
86.627993	89.291104	V
89.291104	89.675502	BO
89.675502	90.238261	V
90.259788	90.868675	BO
90.997832	91.997268	BI
92.276444	97.564791	V
97.703958	98.321512	BI
98.321512	100.065449	V
100.278548	101.513656	BI
101.535401	104.540539	CT
104.570982	105.658224	BO
106.262731	107.045545	CT
107.045545	108.167580	BI
108.406773	111.912043	CT
112.029465	113.264572	BO
113.264572	115.604318	BI
116.391482	116.678514	M
116.678514	119.153078	CT
119.153078	120.048966	BO
120.335998	121.305818	BI
121.331912	121.492824	M
121.514568	123.728194	CT
123.728194	124.280513	BO
124.280513	125.176401	BI
125.176401	125.859189	CT
126.411509	127.920601	CT
127.972789	128.612087	BO
128.764301	129.721075	BI
129.721075	131.195375	CT
131.195375	131.969492	M
131.969492	133.100224	CT
133.100224	134.035253	BO
134.352728	134.796323	V
134.931141	135.331246	BI
135.331246	140.932719	V
140.932719	141.480689	BI
141.558971	143.881321	V
143.881321	144.307520	BO
144.398848	144.929422	BI
144.929422	146.703802	V
146.703802	147.047371	BO
147.243074	147.547502	BI
